id,group,day,response
P23,A,100,59
P24,B,20,62
P24,B,28,63
P24,B,30,64
P24,B,34,69
P24,B,42,70
P24,B,44,73
P24,B,61,73
P24,B,66,73
P24,B,74,77
P24,B,79,77
P25,A,33,80
P25,A,43,80
P25,A,53,80
P25,A,57,79
P25,A,71,79
P25,A,72,79
P25,A,75,78
P25,A,82,77
P25,A,92,77
P25,A,98,72
P26,B,8,66
P26,B,18,68
P26,B,19,68
P26,B,21,68
P26,B,24,68
P26,B,26,74
P26,B,36,75
P26,B,43,75
P26,B,66,76
P26,B,68,79
P27,B,13,63
P27,B,17,68
P27,B,22,70
P27,B,24,71
P27,B,35,71
P27,B,38,74
P27,B,39,75
P27,B,47,76
P27,B,74,82
P27,B,94,83
P28,B,8,65
P28,B,15,66
P28,B,19,66
P28,B,20,67
P28,B,22,68
P28,B,29,68
P28,B,44,72
P28,B,47,72
P28,B,58,73
P28,B,80,73
P29,B,24,68
P29,B,35,68
P29,B,38,72
P29,B,41,73
P29,B,42,74
P29,B,50,74
P29,B,59,74
P29,B,63,78
P29,B,76,78
P29,B,83,78
P30,B,15,65
P30,B,37,65
P30,B,39,68
P30,B,55,67
P30,B,58,67
P30,B,60,69
P30,B,78,69
P30,B,82,69
P30,B,83,71
P30,B,90,74
P31,B,5,69
P31,B,9,71
P31,B,12,76
P31,B,15,77
P31,B,25,78
P31,B,33,79
P31,B,41,80
P31,B,45,84
P31,B,60,87
P31,B,64,87
P32,B,20,65
P32,B,25,69
P32,B,39,69
P32,B,40,69
P32,B,48,72
P32,B,55,73
P32,B,64,73
P32,B,73,74
P32,B,75,75
P32,B,91,81
P33,A,35,79
P33,A,47,77
P33,A,53,76
P33,A,70,72
P33,A,78,70
P33,A,80,69
P33,A,81,68
P33,A,84,67
P33,A,88,66
P33,A,98,55
P34,A,27,77
P34,A,29,76
P34,A,40,75
P34,A,67,75
P34,A,75,73
P34,A,77,72
P34,A,78,72
P34,A,79,72
P34,A,80,69
P34,A,97,69
P35,B,6,62
P35,B,7,62
P35,B,20,63
P35,B,23,67
P35,B,31,68
P35,B,41,68
P35,B,43,68
P35,B,45,74
P35,B,52,74
P35,B,91,76
P36,B,16,63
P36,B,18,64
P36,B,22,66
P36,B,23,71
P36,B,27,71
P36,B,44,73
P36,B,45,75
P36,B,52,78
P36,B,55,81
P36,B,68,84
P37,A,31,78
P37,A,46,77
P37,A,57,76
P37,A,58,74
P37,A,59,74
P37,A,61,73
P37,A,66,71
P37,A,89,71
P37,A,91,71
P37,A,97,69
P38,A,40,81
P38,A,43,79
P38,A,58,73
P38,A,66,69
P38,A,75,66
P38,A,78,64
P38,A,90,63
P38,A,91,63
P38,A,94,59
P38,A,98,59
P39,B,11,67
P39,B,15,67
P39,B,18,68
P39,B,19,69
P39,B,26,70
P39,B,27,70
P39,B,31,71
P39,B,46,72
P39,B,85,73
P39,B,99,74
P40,B,6,66
P40,B,15,67
P40,B,18,67
P40,B,21,67
P40,B,24,69
P40,B,27,71
P40,B,52,71
P40,B,54,72
P40,B,73,73
P40,B,78,74
P41,B,2,64
P41,B,10,68
P41,B,11,69
P41,B,19,72
P41,B,24,74
P41,B,32,74
P41,B,33,77
P41,B,41,79
P41,B,49,80
P41,B,68,84
P42,B,16,63
P42,B,17,63
P42,B,18,63
P42,B,21,62
P42,B,22,63
P42,B,37,64
P42,B,39,65
P42,B,48,65
P42,B,51,67
P42,B,89,68
P43,B,9,59
P43,B,29,60
P43,B,34,59
P43,B,36,61
P43,B,46,66
P43,B,51,73
P43,B,59,75
P43,B,61,78
P43,B,67,78
P43,B,70,78
P44,A,21,81
P44,A,37,78
P44,A,52,72
P44,A,61,71
P44,A,74,69
P44,A,81,68
P44,A,91,60
P44,A,94,59
P44,A,96,58
P44,A,97,58
P45,A,21,77
P45,A,39,77
P45,A,55,76
P45,A,58,73
P45,A,61,73
P45,A,80,73
P45,A,85,73
P45,A,93,71
P45,A,96,70
P45,A,97,67
P46,A,38,78
P46,A,42,77
P46,A,53,76
P46,A,54,72
P46,A,55,68
P46,A,78,67
P46,A,91,66
P46,A,92,66
P46,A,95,62
P46,A,97,60
P47,B,11,65
P47,B,14,66
P47,B,16,68
P47,B,31,69
P47,B,36,69
P47,B,40,70
P47,B,43,73
P47,B,49,74
P47,B,51,75
P47,B,86,75
P48,B,19,62
P48,B,21,73
P48,B,24,75
P48,B,31,75
P48,B,36,78
P48,B,37,81
P48,B,41,79
P48,B,48,80
P48,B,56,81
P48,B,67,82
P49,A,15,80
P49,A,21,77
P49,A,47,77
P49,A,60,76
P49,A,75,73
P49,A,77,73
P49,A,80,70
P49,A,84,70
P49,A,89,67
P49,A,96,66
P50,A,4,80
P50,A,41,80
P50,A,56,79
P50,A,62,76
P50,A,65,71
P50,A,77,71
P50,A,82,69
P50,A,88,69
P50,A,93,66
P50,A,94,63
P51,B,7,63
P51,B,26,66
P51,B,33,66
P51,B,34,69
P51,B,35,70
P51,B,37,71
P51,B,47,73
P51,B,48,73
P51,B,69,74
P51,B,73,76
P52,A,32,80
P52,A,59,79
P52,A,68,78
P52,A,71,77
P52,A,74,77
P52,A,75,77
P52,A,77,75
P52,A,85,75
P52,A,86,71
P52,A,99,71
P53,B,18,65
P53,B,22,66
P53,B,30,69
P53,B,32,70
P53,B,35,72
P53,B,37,75
P53,B,46,76
P53,B,56,76
P53,B,73,77
P53,B,74,79
P54,A,20,79
P54,A,30,78
P54,A,56,74
P54,A,63,73
P54,A,64,72
P54,A,75,71
P54,A,78,69
P54,A,92,68
P54,A,94,65
P54,A,96,63
P55,B,19,63
P55,B,27,67
P55,B,35,71
P55,B,36,71
P55,B,44,73
P55,B,50,74
P55,B,53,74
P55,B,60,76
P55,B,69,76
P55,B,87,80
P56,B,14,66
P56,B,18,69
P56,B,23,70
P56,B,27,71
P56,B,31,70
P56,B,37,73
P56,B,48,74
P56,B,61,74
P56,B,63,77
P56,B,76,79
P57,A,3,80
P57,A,59,76
P57,A,61,75
P57,A,69,74
P57,A,86,72
P57,A,87,68
P57,A,90,64
P57,A,92,64
P57,A,93,63
P57,A,97,58
P58,A,47,80
P58,A,49,79
P58,A,51,78
P58,A,67,76
P58,A,68,76
P58,A,76,75
P58,A,82,73
P58,A,86,71
P58,A,90,70
P58,A,95,70
P59,A,21,79
P59,A,34,77
P59,A,63,74
P59,A,64,73
P59,A,69,72
P59,A,83,70
P59,A,86,70
P59,A,93,64
P59,A,94,63
P59,A,97,62
P60,B,7,65
P60,B,12,68
P60,B,21,69
P60,B,27,70
P60,B,34,70
P60,B,43,75
P60,B,46,76
P60,B,55,77
P60,B,59,78
P60,B,70,78
P61,B,24,65
P61,B,28,67
P61,B,29,69
P61,B,37,69
P61,B,48,74
P61,B,58,75
P61,B,60,76
P61,B,70,77
P61,B,81,77
P61,B,89,78
P62,A,41,77
P62,A,42,77
P62,A,61,76
P62,A,67,72
P62,A,74,71
P62,A,78,71
P62,A,79,71
P62,A,86,70
P62,A,90,66
P62,A,96,62
P63,A,24,78
P63,A,40,76
P63,A,45,76
P63,A,65,73
P63,A,68,73
P63,A,69,72
P63,A,76,67
P63,A,79,64
P63,A,81,64
P63,A,85,63
P64,B,13,63
P64,B,18,67
P64,B,25,67
P64,B,27,69
P64,B,32,70
P64,B,45,72
P64,B,46,76
P64,B,53,77
P64,B,66,80
P64,B,85,81
P65,A,16,80
P65,A,25,79
P65,A,29,79
P65,A,30,77
P65,A,39,77
P65,A,44,74
P65,A,69,72
P65,A,84,70
P65,A,87,69
P65,A,89,67
P66,B,16,60
P66,B,17,61
P66,B,18,63
P66,B,29,64
P66,B,36,66
P66,B,38,66
P66,B,39,67
P66,B,46,71
P66,B,47,73
P66,B,66,75
P67,A,28,85
P67,A,46,85
P67,A,55,85
P67,A,70,83
P67,A,71,83
P67,A,83,80
P67,A,92,79
P67,A,93,79
P67,A,94,76
P67,A,99,74
P68,A,22,78
P68,A,28,78
P68,A,31,77
P68,A,34,76
P68,A,51,75
P68,A,63,73
P68,A,71,73
P68,A,92,72
P68,A,95,71
P68,A,97,68
P69,B,8,69
P69,B,28,69
P69,B,39,70
P69,B,40,73
P69,B,43,74
P69,B,44,76
P69,B,47,77
P69,B,49,77
P69,B,62,77
P69,B,75,78
P70,B,3,64
P70,B,15,67
P70,B,21,67
P70,B,36,67
P70,B,39,67
P70,B,41,69
P70,B,42,69
P70,B,47,69
P70,B,49,69
P70,B,58,74
P71,A,17,79
P71,A,42,78
P71,A,45,77
P71,A,52,76
P71,A,61,76
P71,A,69,71
P71,A,84,69
P71,A,92,67
P71,A,97,66
P71,A,100,65
P72,A,11,83
P72,A,45,81
P72,A,46,80
P72,A,61,81
P72,A,68,78
P72,A,82,77
P72,A,88,75
P72,A,91,75
P72,A,94,73
P72,A,98,71
P73,B,10,64
P73,B,19,64
P73,B,29,65
P73,B,39,66
P73,B,50,66
P73,B,51,70
P73,B,53,71
P73,B,55,73
P73,B,62,76
P73,B,75,77
P74,B,12,66
P74,B,18,67
P74,B,19,68
P74,B,25,68
P74,B,27,69
P74,B,28,70
P74,B,38,71
P74,B,50,75
P74,B,51,78
P74,B,58,79
P75,B,5,64
P75,B,12,66
P75,B,19,67
P75,B,20,71
P75,B,24,71
P75,B,32,72
P75,B,50,73
P75,B,52,73
P75,B,58,75
P75,B,72,76
P76,A,38,85
P76,A,52,84
P76,A,57,84
P76,A,63,82
P76,A,67,79
P76,A,74,79
P76,A,83,79
P76,A,91,76
P76,A,93,73
P76,A,97,69
P77,B,6,66
P77,B,15,70
P77,B,21,75
P77,B,28,79
P77,B,33,81
P77,B,35,83
P77,B,38,83
P77,B,49,86
P77,B,52,88
P77,B,77,88
P78,B,7,67
P78,B,10,69
P78,B,24,69
P78,B,26,71
P78,B,27,81
P78,B,30,81
P78,B,41,81
P78,B,45,86
P78,B,47,87
P78,B,59,87
P79,A,58,81
P79,A,59,81
P79,A,65,78
P79,A,76,74
P79,A,77,70
P79,A,85,69
P79,A,87,64
P79,A,88,61
P79,A,91,57
P79,A,99,54
P80,B,11,63
P80,B,24,65
P80,B,26,68
P80,B,35,68
P80,B,39,70
P80,B,42,71
P80,B,43,72
P80,B,44,72
P80,B,59,73
P80,B,68,76
P81,A,26,80
P81,A,43,80
P81,A,50,80
P81,A,58,80
P81,A,62,79
P81,A,68,74
P81,A,75,71
P81,A,76,71
P81,A,95,68
P81,A,97,65
P82,B,12,68
P82,B,15,69
P82,B,20,69
P82,B,24,70
P82,B,25,72
P82,B,39,75
P82,B,41,78
P82,B,42,84
P82,B,58,85
P82,B,63,86
P83,B,8,64
P83,B,17,68
P83,B,23,75
P83,B,31,81
P83,B,33,81
P83,B,35,87
P83,B,45,88
P83,B,56,89
P83,B,73,90
P83,B,78,91
P84,A,29,80
P84,A,40,76
P84,A,49,75
P84,A,57,71
P84,A,59,70
P84,A,77,70
P84,A,82,65
P84,A,85,65
P84,A,95,65
P84,A,98,65
P85,A,39,82
P85,A,61,82
P85,A,79,80
P85,A,80,78
P85,A,86,77
P85,A,90,77
P85,A,91,76
P85,A,94,76
P85,A,98,74
P85,A,99,72
P86,A,28,80
P86,A,45,79
P86,A,52,79
P86,A,56,78
P86,A,68,78
P86,A,72,76
P86,A,74,75
P86,A,91,74
P86,A,95,72
P86,A,99,68
P87,B,9,64
P87,B,14,64
P87,B,17,65
P87,B,38,65
P87,B,54,65
P87,B,58,68
P87,B,59,69
P87,B,72,72
P87,B,77,73
P87,B,80,73
P88,B,3,66
P88,B,11,67
P88,B,17,69
P88,B,25,72
P88,B,34,74
P88,B,44,76
P88,B,56,76
P88,B,58,78
P88,B,64,79
P88,B,67,79
P89,A,14,85
P89,A,46,82
P89,A,51,81
P89,A,65,80
P89,A,67,77
P89,A,81,75
P89,A,86,74
P89,A,92,74
P89,A,94,74
P89,A,96,72
P90,A,32,81
P90,A,45,80
P90,A,46,79
P90,A,58,79
P90,A,70,79
P90,A,74,77
P90,A,87,74
P90,A,88,72
P90,A,90,72
P90,A,99,71
P91,B,6,68
P91,B,13,72
P91,B,17,73
P91,B,19,75
P91,B,30,76
P91,B,43,78
P91,B,62,78
P91,B,64,79
P91,B,70,80
P91,B,76,80
P92,A,20,79
P92,A,24,78
P92,A,38,78
P92,A,47,77
P92,A,67,74
P92,A,68,73
P92,A,75,70
P92,A,77,69
P92,A,94,67
P92,A,100,67
P93,B,4,65
P93,B,14,67
P93,B,19,67
P93,B,30,67
P93,B,32,68
P93,B,37,70
P93,B,38,72
P93,B,49,73
P93,B,50,76
P93,B,89,76
P94,B,13,66
P94,B,20,69
P94,B,26,70
P94,B,29,71
P94,B,32,73
P94,B,33,75
P94,B,36,80
P94,B,42,81
P94,B,44,81
P94,B,50,81
P95,A,25,83
P95,A,44,77
P95,A,50,76
P95,A,63,75
P95,A,66,74
P95,A,72,73
P95,A,79,72
P95,A,85,71
P95,A,87,71
P95,A,90,69
P96,A,20,76
P96,A,51,75
P96,A,59,74
P96,A,76,74
P96,A,80,73
P96,A,81,73
P96,A,82,72
P96,A,84,71
P96,A,87,67
P96,A,97,66
P97,A,18,81
P97,A,38,79
P97,A,57,78
P97,A,59,76
P97,A,65,76
P97,A,69,76
P97,A,79,76
P97,A,85,74
P97,A,87,73
P97,A,94,72
P98,A,23,81
P98,A,42,79
P98,A,56,75
P98,A,67,71
P98,A,78,68
P98,A,79,67
P98,A,84,65
P98,A,86,65
P98,A,94,65
P98,A,95,65
P99,A,21,79
P99,A,24,78
P99,A,35,76
P99,A,56,75
P99,A,61,72
P99,A,64,71
P99,A,83,69
P99,A,87,69
P99,A,88,67
P99,A,96,65
P100,B,13,62
P100,B,22,63
P100,B,27,64
P100,B,38,64
P100,B,40,64
P100,B,48,65
P100,B,63,67
P100,B,69,71
P100,B,71,73
P100,B,80,75
P101,B,15,65
P101,B,19,69
P101,B,26,70
P101,B,34,70
P101,B,43,70
P101,B,47,70
P101,B,51,70
P101,B,62,72
P101,B,63,71
P101,B,78,73
P102,B,5,66
P102,B,17,70
P102,B,25,73
P102,B,29,75
P102,B,39,75
P102,B,41,75
P102,B,53,75
P102,B,54,75
P102,B,62,77
P102,B,66,77
P103,B,9,66
P103,B,10,67
P103,B,18,73
P103,B,20,75
P103,B,28,79
P103,B,52,86
P103,B,58,88
P103,B,65,89
P103,B,71,91
P103,B,82,97
P104,B,15,64
P104,B,20,65
P104,B,25,68
P104,B,35,70
P104,B,43,74
P104,B,45,75
P104,B,49,78
P104,B,52,78
P104,B,63,80
P104,B,83,83
P105,A,25,79
P105,A,61,78
P105,A,79,77
P105,A,80,76
P105,A,88,75
P105,A,91,71
P105,A,93,70
P105,A,94,68
P105,A,96,68
P105,A,98,67
P106,B,5,67
P106,B,14,67
P106,B,22,69
P106,B,34,70
P106,B,35,74
P106,B,40,75
P106,B,64,76
P106,B,75,76
P106,B,78,77
P106,B,90,79
P107,A,57,79
P107,A,63,79
P107,A,73,77
P107,A,88,76
P107,A,91,75
P107,A,93,73
P107,A,94,70
P107,A,96,67
P107,A,97,66
P107,A,98,63
P108,A,25,79
P108,A,30,78
P108,A,49,78
P108,A,58,77
P108,A,61,76
P108,A,69,73
P108,A,90,72
P108,A,93,71
P108,A,97,65
P108,A,99,64
P109,B,13,64
P109,B,16,70
P109,B,20,71
P109,B,34,74
P109,B,35,76
P109,B,37,77
P109,B,42,77
P109,B,49,84
P109,B,60,85
P109,B,89,86
P110,A,31,78
P110,A,33,74
P110,A,37,72
P110,A,50,71
P110,A,55,71
P110,A,56,69
P110,A,64,66
P110,A,77,65
P110,A,80,58
P110,A,94,57
P111,B,14,67
P111,B,16,70
P111,B,22,70
P111,B,25,71
P111,B,35,71
P111,B,36,72
P111,B,43,73
P111,B,58,74
P111,B,64,74
P111,B,75,74
P112,B,13,62
P112,B,35,66
P112,B,36,66
P112,B,38,66
P112,B,43,67
P112,B,46,68
P112,B,54,70
P112,B,57,71
P112,B,59,75
P112,B,79,76
P113,B,11,65
P113,B,13,65
P113,B,14,67
P113,B,16,70
P113,B,19,70
P113,B,21,72
P113,B,40,72
P113,B,43,74
P113,B,72,74
P113,B,88,75
P114,B,19,64
P114,B,25,67
P114,B,26,67
P114,B,36,74
P114,B,45,74
P114,B,49,75
P114,B,52,77
P114,B,53,80
P114,B,54,81
P114,B,66,83
P115,A,34,82
P115,A,42,80
P115,A,48,79
P115,A,53,78
P115,A,57,77
P115,A,63,75
P115,A,69,72
P115,A,79,72
P115,A,94,71
P115,A,98,70
P116,B,23,63
P116,B,24,63
P116,B,33,66
P116,B,37,67
P116,B,40,70
P116,B,47,70
P116,B,53,78
P116,B,60,78
P116,B,70,79
P116,B,90,83
P117,A,9,79
P117,A,34,77
P117,A,54,76
P117,A,61,75
P117,A,65,73
P117,A,70,72
P117,A,74,71
P117,A,93,66
P117,A,96,64
P117,A,99,63
P118,B,3,64
P118,B,7,65
P118,B,21,66
P118,B,24,66
P118,B,25,67
P118,B,41,67
P118,B,49,67
P118,B,56,69
P118,B,57,71
P118,B,59,74
P119,A,19,77
P119,A,45,74
P119,A,58,74
P119,A,60,70
P119,A,67,66
P119,A,75,65
P119,A,80,65
P119,A,87,64
P119,A,91,64
P119,A,100,57
P120,A,6,78
P120,A,11,78
P120,A,12,76
P120,A,21,75
P120,A,23,75
P120,A,47,71
P120,A,54,70
P120,A,83,69
P120,A,85,65
P120,A,90,62
P121,A,20,83
P121,A,45,82
P121,A,46,79
P121,A,62,78
P121,A,65,78
P121,A,68,74
P121,A,77,71
P121,A,87,70
P121,A,92,70
P121,A,98,70
P122,B,9,66
P122,B,13,67
P122,B,15,67
P122,B,21,70
P122,B,28,73
P122,B,38,74
P122,B,39,76
P122,B,45,77
P122,B,64,80
P122,B,74,81
P123,A,31,80
P123,A,55,77
P123,A,56,77
P123,A,62,77
P123,A,76,75
P123,A,78,74
P123,A,81,73
P123,A,91,69
P123,A,96,69
P123,A,98,68
P124,A,23,79
P124,A,27,77
P124,A,33,73
P124,A,52,72
P124,A,57,70
P124,A,67,70
P124,A,83,63
P124,A,85,58
P124,A,98,58
P124,A,99,56
P125,B,13,66
P125,B,14,67
P125,B,16,67
P125,B,24,69
P125,B,28,70
P125,B,29,71
P125,B,59,72
P125,B,61,73
P125,B,66,73
P125,B,82,82
P126,B,15,62
P126,B,17,62
P126,B,21,67
P126,B,22,68
P126,B,29,69
P126,B,50,70
P126,B,55,71
P126,B,57,71
P126,B,65,75
P126,B,92,75
P127,A,45,80
P127,A,50,79
P127,A,60,79
P127,A,63,77
P127,A,82,75
P127,A,84,75
P127,A,86,74
P127,A,89,73
P127,A,96,71
P127,A,98,69
P128,A,36,80
P128,A,58,79
P128,A,66,75
P128,A,81,74
P128,A,85,69
P128,A,86,69
P128,A,93,66
P128,A,96,64
P128,A,98,64
P128,A,99,64
P129,A,22,82
P129,A,29,80
P129,A,53,79
P129,A,62,79
P129,A,73,78
P129,A,74,78
P129,A,77,78
P129,A,85,78
P129,A,88,76
P129,A,96,75
P130,B,21,64
P130,B,24,65
P130,B,25,66
P130,B,35,65
P130,B,51,67
P130,B,54,68
P130,B,55,69
P130,B,59,69
P130,B,61,72
P130,B,66,73
P131,A,32,77
P131,A,42,76
P131,A,44,73
P131,A,50,73
P131,A,57,73
P131,A,65,73
P131,A,66,71
P131,A,84,70
P131,A,87,67
P131,A,93,65
P132,B,21,66
P132,B,23,71
P132,B,29,73
P132,B,30,78
P132,B,43,79
P132,B,46,79
P132,B,49,80
P132,B,79,82
P132,B,85,82
P132,B,96,84
P133,A,35,78
P133,A,40,73
P133,A,48,73
P133,A,56,72
P133,A,71,72
P133,A,78,66
P133,A,82,62
P133,A,87,62
P133,A,92,61
P133,A,95,59
P134,A,3,79
P134,A,20,79
P134,A,43,77
P134,A,46,74
P134,A,64,73
P134,A,75,74
P134,A,80,71
P134,A,85,71
P134,A,93,70
P134,A,94,67
P135,B,17,66
P135,B,19,68
P135,B,21,68
P135,B,37,70
P135,B,41,71
P135,B,42,74
P135,B,43,75
P135,B,63,76
P135,B,93,77
P135,B,96,80
P136,A,17,80
P136,A,21,79
P136,A,33,78
P136,A,39,77
P136,A,49,76
P136,A,51,73
P136,A,53,72
P136,A,59,72
P136,A,63,70
P136,A,90,69
P137,B,23,61
P137,B,24,62
P137,B,25,63
P137,B,29,68
P137,B,43,70
P137,B,47,76
P137,B,48,78
P137,B,65,81
P137,B,67,81
P137,B,78,84
P138,A,6,81
P138,A,26,81
P138,A,58,80
P138,A,59,81
P138,A,65,78
P138,A,73,78
P138,A,78,77
P138,A,79,75
P138,A,90,73
P138,A,100,72
P139,B,11,67
P139,B,13,69
P139,B,14,70
P139,B,23,72
P139,B,29,73
P139,B,30,74
P139,B,36,76
P139,B,37,76
P139,B,58,77
P139,B,70,77
P140,B,14,65
P140,B,21,65
P140,B,24,66
P140,B,26,69
P140,B,29,70
P140,B,39,71
P140,B,52,72
P140,B,65,72
P140,B,78,73
P140,B,95,75
P141,B,6,62
P141,B,18,63
P141,B,20,68
P141,B,27,69
P141,B,32,70
P141,B,35,71
P141,B,49,71
P141,B,54,72
P141,B,77,72
P141,B,83,73
P142,A,28,80
P142,A,32,78
P142,A,58,77
P142,A,70,75
P142,A,75,74
P142,A,80,73
P142,A,87,70
P142,A,89,68
P142,A,92,65
P142,A,93,60
P143,A,24,81
P143,A,37,80
P143,A,43,78
P143,A,64,77
P143,A,70,76
P143,A,77,74
P143,A,80,73
P143,A,83,73
P143,A,87,70
P143,A,100,69
P144,A,32,77
P144,A,39,75
P144,A,47,73
P144,A,50,72
P144,A,53,69
P144,A,63,69
P144,A,81,68
P144,A,88,67
P144,A,96,67
P144,A,100,66
P145,B,8,64
P145,B,12,67
P145,B,32,73
P145,B,34,75
P145,B,36,76
P145,B,41,78
P145,B,46,79
P145,B,55,80
P145,B,70,85
P145,B,78,86
P146,A,16,75
P146,A,37,75
P146,A,49,68
P146,A,66,68
P146,A,73,68
P146,A,76,65
P146,A,83,59
P146,A,89,54
P146,A,96,51
P146,A,99,50
P147,B,20,69
P147,B,21,70
P147,B,27,71
P147,B,34,71
P147,B,51,72
P147,B,54,73
P147,B,64,74
P147,B,69,74
P147,B,76,76
P147,B,93,79
P148,A,48,75
P148,A,49,74
P148,A,66,70
P148,A,69,69
P148,A,70,66
P148,A,74,66
P148,A,75,66
P148,A,83,66
P148,A,92,64
P148,A,100,63
P149,A,13,83
P149,A,30,80
P149,A,55,79
P149,A,61,79
P149,A,73,77
P149,A,76,73
P149,A,86,71
P149,A,90,70
P149,A,94,70
P149,A,99,70
P150,B,8,64
P150,B,17,64
P150,B,19,68
P150,B,24,70
P150,B,25,70
P150,B,35,75
P150,B,36,75
P150,B,37,77
P150,B,42,79
P150,B,44,79
P151,B,6,65
P151,B,8,66
P151,B,9,69
P151,B,13,69
P151,B,18,72
P151,B,23,72
P151,B,37,75
P151,B,58,78
P151,B,83,79
P151,B,90,80
P152,A,40,78
P152,A,50,77
P152,A,51,76
P152,A,53,75
P152,A,58,72
P152,A,64,69
P152,A,68,65
P152,A,93,64
P152,A,95,63
P152,A,100,62
P153,B,3,67
P153,B,13,68
P153,B,21,69
P153,B,23,70
P153,B,34,71
P153,B,35,72
P153,B,38,72
P153,B,44,73
P153,B,75,75
P153,B,79,75
P154,B,4,66
P154,B,14,68
P154,B,18,68
P154,B,23,69
P154,B,37,70
P154,B,39,70
P154,B,41,71
P154,B,47,76
P154,B,51,79
P154,B,63,82
P155,B,16,67
P155,B,20,67
P155,B,21,68
P155,B,28,68
P155,B,29,72
P155,B,38,73
P155,B,41,75
P155,B,46,76
P155,B,68,82
P155,B,88,84
P156,A,12,80
P156,A,30,77
P156,A,35,72
