year,rating,review
2023,2,"This review is for using the trip planner in the app. It is a nice idea but hard work to use, certainly from my mobile. I kept ending up with multiple trips and had to edit everything from my PC. What would have taken 15 minutes on a spread sheet took over an hour on the app. Another problem was that individual events were in the wrong order. This particularly applied to hotel bookings that used the check-in / check-out times."
2023,1,"Great until last update, I was in one of my trips when I got a prompt to update the app. That trip no longer comes up or displays. On other android phones that I didn't update the app march 2024 trip is there, no issues"
2023,1,"I use other apps now. There's no way to reduce alerts to 1-2 a week. So, my inbox gets bombarded with a daily mail. The design was so much better a few years ago when it came to setting alerts. Now, I cannot even find a way to select the same airport to return to. I don't want to return to a different airport if my car is going to be parked at another!"
2023,4,The app is good for a person like me who wants to always travel but on a budget.. best way to find out the cheapest option on a particular time interval. The only drawback i felt was that there is no option for a train journey. Initially the navigation was hard but eventually when u get the hold of it things are understandable.
2023,1,This app is a classic example of BAIT AND SWITCH advertising. The price they bid is not the price you pay. And it's not just the baggage and other options you have during the booking process. There are many better options. Be careful of Kyak
2023,3,"This is a great app, but I can only give it three-stars due to its constant resetting of your baggage to zero for each and every search. These kinds of bait and switch tactics are the worst way to treat your customers. Just tell that Sales VP, no. Like everyone else, they should have to actually work for their keep."
2023,2,This app is intentionally displaying wrong informations and the search results are therefore useles for me: if i am asking for flights with one or no stop at all why is it showing me as top results flights with 2 or 3 stops even for short flights?
2023,5,"Great app to build trip itinerary so you know where to be when. The 'show driver' feature when traveling internationally is very handy. Also great to share trip with people so they can track you or know where to be of it is a group trip. Searching feature is also great, especially being able to limit by loyalty program or just look at cheapest, fastest, etc. Highly recommended!"
2023,2,"can't cancel my reservation, super painful UI. called the rental place and they have no idea, made my life worse not better"
2023,1,"I booked and paid a rental car 5 months in advance, just to arrive in a foreign country on the day of my booking and learn from Europcar that the booking wasn't valid. I had to make a new booking and pay again directly with Europcar so Kayak stole $1000 from me. I've been in contact with them for the past few weeks to get a refund but so far they've just tried to make excuses or shift blame to other parties. These people are scammers and no one should ever use their service!"
2023,3,The flex dates feature is one of the unique attributes kayak offers but the calendar grid selection is frustrating and unintuitive when modifying specific dates. Flight information also isn't always up to date and flights in a trip will appear without a price or the ability to click on them suddenly
2023,4,"Good basic information. It would be nice to know what upgrades are available ( extra leg room, etc.) And cost for each airline, especially for Economy section. Lufthansa posts some of that but prices are not always clear. ""BASIC"" , ""Multiple Fares "" labels are too vague."
2023,1,"Don't trust this booking engine, they advertise on their website scamers travel agencies. Yes, I confirm that I have a potential fraud case with a Gotogate travel agency, which I was directed to book flight tickets by kayak engine!"
2023,4,App itself is OK but you need to get rid of spam listings from people like 'TravelUp' who lie about the price to get you to click their link
2023,2,Terrible search. It keeps reseting my search criteria every time. I couldn't figure out how to use it or how to look for hotel and flight. Wasted half an hour battling with it and went back to using the Web version. Maybe it my brain that works in the wrong way.
2023,5,"Best way of finding suitable flights when on a flexible schedule! I've been using Kayak for years and there's really nothing better out there. There's so many options to fine-tune the search, not to mention the option to getting a matrix of 7 by 7 days to see which day has the fastest / cheapest / most suitable flights. Highly recommended!"
2023,5,"Amazing customer service! I had an issue with the search engine. Decided to write them about it. And they answer pretty quick, and provided a new update to fix the issue. Now its even better. And more options with more than 330 days in advance for air travel. Other sites wont show a thing. It was my second favorite site. Now is my first."
2023,5,"Always the cheapest flights. And the easiest to review. I recommend only booking flights direct with the airline. The third party providers are less able to help you if your flight gets cancelled, for example."
2023,5,"Amazing app for organizing multiple flights from different airlines, events, and stays all into one easily accessible place. Great if you're the type of person that's very detail oriented!"
2023,1,Terrible experience - downloaded the app and I can see great deals but I can't access them. I click and end up with a blank page! This has been happening for weeks. Developers help
2023,5,Used it all the time when I traveled alot when kayak first came out in early 2000s !!! It was perfect and top of the service industries agencies I can't believe they've slacked off in any way here in the 2023s I trust kayak now s I did way back then I've got 2 trips coming up to Palm Springs and another to S an Diego I will be using kayak both trips not the other services 😀 😄 😉 kayak has my heart for life
2023,5,Kayak is the most practical way of buying your airfare (to any place in the world) without any hassle and doubt.
2023,5,Kayak has been my go-to app for a handy comparison of flights and cars for a few years now. You can purchase right through the app. Fast accurate and easy to use.
2023,1,"Used to work, got to a point that it started searching forever without returning any results. I uninstalled, reinstall... nothingng. It's been a couple of months . I reinstalled it again today, and it's the same problem."
2023,5,I've been using Kayak for years. It's the best app! Love how easy it is to compare flights. Lots of great filters to get exactly the type of flight you want.
2023,5,Great app for collecting all itinerary details together. One place to look when you forget where you are going or when you planned to be there!
2023,2,Two stars because not All websites or companies are trusted or professional. I asked kayak to provide me email to one of those company and never replied to me.
2023,5,It shows me options other sites don't and I have never had a problem.
2023,2,Quite annoying. Even when you filter for checked bags they give you a price but the actual price doesn't include checked bags. Totally not transparent.
2023,1,App is unusable. PLEASE FIX! I've used this app for many years but latest update hangs and crashes every time I try to open it. I have to use the web/desktop site now.
2023,4,it's a nice app for people with low money and want to go on a trip but the app makes your choice disappear
2023,5,"There's not a lot more you could want from a travel app. Searching for hotels and flights is easy, good filter settings to narrow down what your looking for, useful in the map view, heatmaps for attractions, shopping,night life etc. overlooked feature is the kayak trip manager, just as good if not better than some of the alternatives. You can even import accommodation, flights,buses, trains, galleries, even if booked through external providers, or obsucure tickets. I'm impressed, and it's free!"
2019,2,"Really liked the look of it-modern and great updates and love the email storage feature, but its hard to quickly distinguish what type of travel each line is. Would love to have clear icons specifying whether we have a flight, train, car or accommodation. for those long trips it would be handy to quickly view. until then I'll use the competition's."
2023,5,Kayak offers the best possible flight prices!
2023,2,The same locations are available elsewhere significantly cheaper almost 100% of the time in my experience
2019,3,"It's my favorite booking app; not perfect but usually fits good my needs. Unfortunately recently the filter for ""Direct"" flights got broken; it filters out everything even when one can see choices available without stopovers in the unfiltered view. It makes finding flights more painful and wastes time. Please fix it for getting an additional star."
2023,1,"I never wanted to install your app. PEROID. Now the app. Multiplied and I now have 5 icons. Will not allow it to uninstall, remove even from settings. Your whole app. Should be nucked form orbit! What a waste of time!"
2023,5,"a fast, easy. thorough review of most available flights...to anywhere. Used for years with good results."
2023,2,"you put in one class & every single time, it gives me economy. If I wanted to fly economy, I would have put that into my criteria."
2023,5,"Been using it for many years, has all the features needed to book for travel"
2021,4,"Thanks for the great app! In the search results list I still see the price per person instead of the total price per group (according to the number of travellers entered), which is somewhat misleading. Could you please replace the amount shown with the total or just add below another line stating 'total' (as they do in Skyscanner)?"
2023,5,Easy navigation and great options.
2023,5,Great tool when travelling and very accurate
2023,5,This application is the most efficient and cost-effective way to book flights and hotels.
2023,5,This app is great at finding the best flights. it does the search for you.
2023,3,"well it is Really Good!!! but you guys need a Better Scam Filtering... also a way to Rate your own ""Partner"" booking sites"
2023,5,By far the best app to organize and track your trips.
2023,1,"Don't download this apps,, the price difference and double,, if someone doesn't know,, you will be good fish,, so try it with different app ,"
2023,1,"kindly ensure that when someone cancels, refund is done immediately"
2023,2,"Worked well until the most recent update. Now the app crashes whenever I try to view an upcoming trip, which is why I use the app in the first place."
2023,3,I don't use this app enough. I only have a phone and when I try to book multiple flights I find it difficult to get them in the proper order or I don't seem to get the best deals. Maybe it's just me and my lack of knowledge
2023,1,"Not sure how the business model changed, but this site is no longer what it used to be originally. I use it just to search now a days and purchase directly from the airlines."
2023,1,"App doesn't work. After searching on a flight, shows no results and only a button saying search cheapest days."
2023,5,"Such an easy platform to use, search and find the best ticket, stay and transport, for whatever your travel priorities may be!"
2023,4,the prices vary on app and PC and on PC it recognizes me as robot :(
2023,5,"Nice interface, easy to use. I especially like the flexible days options."
2022,1,"Avoid. A single KAYAK design choice will be a deal breaker for most users. I've built my trip plan, landed overseas and started to add further events, until... ""This trip has reached the limit of events we can add to it; please create a new trip."" Ummm - no - please design an app that makes its constraints clear from the outset (this one is ridiculous). I recommend other users look at competing apps/software."
2018,3,"1) I Have set my CURRENCY to my Country, BUT, Strangely but true, each time I try to view a hotel to find out its prices, it automatically came back as ""£"" currency, so it's a shame cuz the pricing comparison is quite good actually. FIX that, meanwhile I will return to my usual App to check on prices & to book. 2) There aren't enough DESCRIPTIONS listed in each hotel I'm viewing, so i can't really figure out details i needed for each hotel I view/open."
2018,5,"Best app I've ever downloaded!! The 'Trips' feature is absolutely incredible, it lays out your whole trip with every single piece of information you could possibly need by retrieving the information from your confirmation emails - even if they weren't booked through Kayak! Can't express how much I love this app, has massively exceeded expectations!!"
2023,1,6 dollars a day for rental and then you check price $30 a day false advertisement should be a criminal offense 👎
2019,1,"The cheapest flights were offered by Crystal Travel, however, it is impossible to book any of these flights. After submitting payment details booking is declined due ""dynamic changes with availability of flights"". However, if you do another search, the same flight and price is returned by the Kayak app. This makes the app effectively useless as a search tool. (I wonder how legal this business model actually is??)"
2023,5,Excellent application to xompare the flights and travel!
2021,1,"Have been a user for many years and preffered this to other sites such as trippit. However Since one of the new updates, I have not been able to log into my account. I have tried resetting my password numerous times and it says that it will send me an email but I never seem to be getting it. I have tried doing it on the app and on the website but same issue. I have tried contacting them but again no response. I really do not want to loose my previous records."
2021,3,"Well I did like Kayak, but now every time I open it, it doesn't show me the prices next to the travel deals, it just says ""Info"", and I have to click throughto the airline site just to see the price. I'm hoping that's some weird glitch. I'm not going to click on every option 3 times just to see what the price it...kind of defeats the purpose of your app. I will uninstall this app in a damn hurry if it keeps wasting my time like this!"
2019,4,We booked our trip to Paris using Kayak. This is a great app. It has trip notification you can track the price drop and rises. Their when to buy when it's the cheapest was an excellent tool. We booked three tickets for under $700 each (estimated.) I gave a 4 star because I haven't use their hotel and car rental tools. I'm sure it's great.
2019,1,"Terrible experience. This new version had offers from many new sites. Every single one of them had an initial low price but after filling out all the required info, a popup announced that the price was no longer valid and of course after redoing it, the price had gone up well over $100. After 5 attempts, I gave up on this app."
2023,4,"The best available travel app. But it does have room to improve i.e. - the filters regarding number of checked luggage don't always work as intended, and therefore almost all results have to be manually checked. On car hire, different providers are listed of you change the country setting on the app e.g. you set the country as UK , and search for car hire in US, you will get less results than you get on the same so but with country set to US. Overall the best travel app I've come across."
2019,3,"Good idea but this app (or the website) just does not remember what filters you have applied. I try to input dates and it just doesn't show me flights for those dates (example: imputed dates in August, flights shown for May). Love the feature to see flights to anywhere with the map, just wish the filters actually worked"
2023,5,great site is easy to use ... great prices
2020,2,"From a software Product Manager: This has been my go-to flight search app for many years. Now, the search results show the lowest price from 10+ junk 3rd party booking sites that are generally considered horrible and risky. So the prices shown in list mode are not useful: ""Wow the Lufthansa flight is only $650"" - open flight - ""oh, it's actually $1200 from the airline, $650 is ""BudgetAir"". If there was a way to show the price from the Airline only, this would be useful again. Back to Orbitz."
2019,3,"App works well. But I catch flights in various parts of the world I rarely visit. It would be nice if Kayak provided some overview on airlines before we buy tickets. Their customer service, punctuality, cancelations, etc. I know what airlines to avoid in the US but not which ones to avoid in Asia for example. I would pay more for a ticket if I knew that it was less likely that I was going to wait an extra 12 hours due to a flight delay or cancelation"
2021,1,"Expedia is playing games on kayak. Expedia will list low price, when you click the link then they will raise 2x+ the price. Expedia some others ruining it. By publishing low rates and bump by charging 3x more. That's just ridiculous why kayak team looking into it. Expedia will ruin kayak for sure. Kayak must act on to fix this issue. Otherwise users will stop trusting this app. I sent you guys screenshot on the email in this app. Go ahead and check it out Sent info to kayak didn't do anything."
2022,1,"Not a fan. Booked a room in Kansas, checked in for less than an hour. Nothing was as stated. No breakfast, no fitness area, front desk grumbled after every question, as if I expected amenities from this location as if they were listed as highlights - THEY WERE. Told front desk I wanted a refund, haven't gotten one over a week later. Can't really approach Kayak about it, so they might want to fix that HUGE ISSUE."
2019,5,i dont use the kayak app for bookings but i do use it for my travel itinerary and i love it so much. it automatically syncs up with my gmail and puts all of my trip info into one concise easy to read platform. i travel a lot and use it all the time to keep track of my flights. it even lets me know down ti the second how long my layovers are or when flights are boarding. i dont know where id br without this app!
2023,1,"Maybe if I managed to use it my rating would be different. But app s unusable to me, it's crashing constantly."
2022,1,"Price Forecast sometimes is not shown, below price forecast sometimes there's a button that shows you the cheapest dates to fly to that destination but sometimes it doesn't show the button either, I have the latest app and have tried it on different phones so this is very frustrating. going back to Skyscanner"
2018,4,I love this app to keep all my trips together. Am using it for years. Only issue is delayed flights. Example: my wife is flying ET504 from DUB-LAX now. Flight got delayed 8.5 hours due to technical issues. Kayak did not recognize that and tells me the flight is on time. I live in San Diego and have to collect her in LAX. If I trusted Kayak for flight info I would have been waiting 8.5 hours in LAX. Instead I use flightradar24 for flight tracking. This has happened many times over the last 6 years that I am using kayak. Do not trust kayak for flight tracking.
2021,1,"Really frustrating and disappointing. Gave misleading rates to start with. Once I selected something with a rate I was comfortable with, started the booking process, entered payment information, and clicked the final step only to be told by the app the rate was no longer available and had gone up over 25%. I won't ever use this again."
2023,4,great app to compare travel and then book it with full integration with all your devices.
2022,1,"Kayak didn't update my confirmation number/ record locator when my flight changed so I couldn't check in at all. The app showed ""Access denied"" when I tried to check in on the app. Couldn't check in on the airline website because it technically didn't exist anymore. The airport was confused as well, and I missed my flight, but I just booked another one by just googling and checking prices. Kayak does not have options available to request refunds and there is no support line for you to call."
2018,3,"It's quite an annoying app to use. Everytime you want to edit your search, it resets absolutely everything to default. You cannot just change one field and refresh. And 70% of the costs shown are not what you see once you click into the flights."
2019,4,"Hi, I've been using Kayak since 2016 and I really enjoy the convenience of having all my trip information in one centralised location. I love competing with my friends on the travel statistics and it helps me keep my memories in archive so I can look back on. One thing I would love to see in the app is a carbon footprint tracker that shows how much carbon I've produced based on the distances I've travelled on my trips for each year. Do you think this will be possible?"
2018,4,"I've only searched for flights for anywhere on specific dates so far but wow, the results are very interesting. If the prices are as good as they seem to be then it may well change the way I go on holiday in the future. Could be the way forward for now to avoid being ripped off by stupid prices and even take advantage of the good ones. Won't know for sure until I've actually used it to book something though."
2023,3,"I can never order from the site. I always have to go directly to the airline. That being said, it is a great way to find which flights are available."
2018,4,"I have booked three awesome vacations with the explore tools. Only getting four stars because the incorrect pricing consistently breaks my heart. I hear a ticket is $400, click on it, it's $1200. More often than not. The gems are priceless, but you really have to dig."
2022,2,"Used to be my Go To app for all travel bookings. Now it seemingly tracks my IP address and shows higher prices in final results whereas I can clearly see lower prices when it is working on the results. Those low prices are nowhere to be found in final results. Also, what's the point of Senior Citizens category when it shows terribly long 12-15 hours layovers."
2023,5,"Last update broke ± days search option, always returns an empty reault. Update: 184.2 fixed the issue."
2019,3,"I always liked Kayak for fbookong flights until recently. The last three trips I tried to book my flights for, after clicking book, it tells me the flight is jo longer available on numerous different options. Since my info is saved in the system, the time from verifying the flight and cost till booking is just a minute or so. I do not believe that this is a just a coincidence, it has happened too many times. I believe they are leaving those prices up to entice people."
2022,4,"This is my default app for flight booking and I also like to gather details of upcoming trips here. There are a few details that could be improved: I find that the luggage preferences usually reset when I change search criteria, which is a bit of an annoyance."
2023,5,"It's a great app to compare prices over various websites - my suggestion though: double check if all websites are actually reliable before booking. For example, kissandfly is not reliable to book tickets from, so just check the prices and go to the airline's own website to see if it checks out, and maybe get your tickets from there. Very useful functions of searching with ±a few days."
2019,4,"Love the app. I use it all the time for researching my next trip. Only thing I wish was different is, I wish I could choose which airport to use the explore search from. It defaults to a local regional airport and the prices are hugely inflated. Other then that ,it's been good."
2022,1,"I don't know what's changed but it's now bloody useless. I put in my dates with +-3 days and I get the most RIDICULOUS suggestions: Berlin to Larnaca in 2 days for 450 euro, what the hell? If I go on easyJet and check manually I find flights at 1/3 cheaper with the expected travel time. I could have sworn there used to be a feature that tells you when airlines fly to a location and the option to see when in a month is cheap. Basically I'm uninstalling, the app sucks."
2023,1,Deceptive fares that don't exist. Slow and often unresponsive. Lately the orange search button does not respond to a click. You will see fares that will be half of the regular airline sites and you can book it but they are not legit and will be canceled so don't get hopes up. Even with the instant book through Kayak. When you click throw to a vendor site it hangs and doesn't let you go back. App right now is a waste of time.
2021,1,"Be very careful! Found good car rental price and it took me to carrental8 website and I reserved it. No phone number anywhere to call the company, emailed twice and no answer. Email is the only way to contact. Pickup location for car is Newark AIRPORT, 50 miles from home and I have no idea why, when I searched in my town. There is no address or anything, just say airport. To cancel is 40$ fee. Will handle with my credit company. But Kayak never again. You can't contact kayak either."
2020,4,"It would be cool if you would offer ""duration,"" ""weekend,"" and/or days of the week as part of your explore filters (in addition to date, price, distance, and theme). That way I could choose to only see trips that were on the weekend, or were four days long, or went from Thursday to Sunday, for examples."
2023,1,prices are not accurately updated and are usually much higher when you try to buy.
2023,3,"A well versed app for searching for flights, except the process appears seems to be nice expensive than others"
2023,2,"Newest 2023 update 'Recommended' a 55 hour long flight at a 25% higher price before showing me the ones that matched my search criteria (like only 1 stopover & no long layovers!) . Then it sent me to the airline's site to purchase the flight; it did not seem to register the trip in Kayak, where I was hoping to add trip insurance and hotel. Update did not remember my profile info for auto-filling, & put an Afghanistan phone prefix for a U.S.-based customer. Weird."
2022,1,"The app is great functionally, but customer service for processing refund request is not effective. Support staffs are not provided with adequate information and tool to efficiently and effectively help me with refund for a canceled flight. I have been working on my refund request since early August of 2021. I have used other 3rd booking apps and had good experience with refund. Avoid booking with through this app if possible."
2023,5,consistently great tool.
2023,5,they were able to find me the best fare one way in a major carrier
2023,1,this app broke three times after I had it installed.
2023,4,Pretty cool and easy to use
2019,4,"Trip feature very convenience and very useful. Search function is also very flexible with +/- option. But the display can be improved as current item by item takes time to read. If there is some grouping will be easilier to read. Compare to other travel app, Kayak is much more details."
2023,5,"It's easy to use and you will get variable flights information which is helpful. Every time I try other app, I always come back as Kayak is fantastic"
2023,1,"Flights to some countrys is restricted. 1 star ,when they choose not to mix politics into everything i will install this app again."
2023,1,"Caution: Deceptive Car Rental Experience at Airport Booked a car through Kayak, lured by low prices. Upon arrival, learned the rental service was 30 mins away from Toronto airport. Discovered alarming scam warnings on Google Reviews. Kayak offered no help to cancel or report this. Felt misled and trapped in a potentially fraudulent situation. Advice to travelers: double-check rental locations and read reviews before booking. Avoid this service for a hassle-free experience."
2023,2,"I'm trying to use the app to buy tickets, but every flight is a ""Self-transfer"" flight. There's no option to disable this. (You can do it on the website but not in the app for some reason) This majes the app almost unusable unfortunately."
2023,1,This app sucks! I'm sick and tired of it making me solve a puzzle because of potential bot activity. This happens when I'm logged in. Plus I solve the puzzles and it says I didn't. Pure garbage!
2022,3,"Like this app very much But... I use Kayak app ragularly to book flights. As I use my mobile for pretty much everything I use the app for searching of flights more frequently than the Web site. In general the app is great as meets all my needs BUT... When searching for flights the option to omit return flights which do return to the same airport is not available On the app, which available on the website!! Could you please please make it available on the app!!!"
2019,1,"Was a huge fan of kayak (web). App was always less convenient. Lately web service got worse. 2 days ago my flight got cancelled. Airline was not giving me my desired reroute option claiming nothing was available. I checked kayak app and really nothing came up. Then my co-passenger found an option that worked for me. I took that ticket and even after holding said ticket in my hand kayak app still didn't find it. We're talking Warsaw-Paris-Tbilisi, not Somalia to Mogadishu if you know what I mean."
2023,1,"One of the worst booking experiences in my life. My flight was canceled and they did not refund me until 3 months had passed. Very slow customer service, I had to contact the airlines myself to prove that the flight was canceled because Kayak said they couldn't (that airlines allegedly never respond to them). They will try to find any way not to refund you. I called them a hundred times and kept pushing. Never use them ever! Heed my warning! ⚠️"
2019,4,"I used this app to book my trip over seas and was informed by the hotel I booked thru Agoda (thru the Kayak app) that it would be closed down due to government regulations. I canceled but was informed that thru the app that I wouldn't get a refund. Agoda is untrustworthy. They stole money. update: Agoda did refund my money after some communications and things worked out. booked another trip this time thru Kayak but it doesnt show up in the ""My Trips"" section. not sure why"
2022,3,"Deal are usually with third party wholesalers and not directly with the airlines. I avoid wholesalers simply because if there is a flight itinerary problem you usually spend a fortune on multiple calls to an Indian call center (Expedia ). Kayak is good for researching fares however, if you want security, book flight directly with the airlines."
2019,2,Had this app for awhile and went to book a flight through this. Didnt matter which way I did it whether through the book now link or through the view details and then proceed to booking it would not go through. I ended up going through the airline direct. Okay to browse through for flights but would not recommend to do your bookings through them.
2018,1,Better book your own flight via airline websites!! The app suggested two connecting ryanair flights via an online travel agent that ended up costing 103 pounds. They also had a deadline 48 hours prior to do online checkin. I would then have had to pay 110 euro ryanair fees to check in at the airport. I booked a much cheaper Easy Jet direct flight instead and lost my 103 pound flight via Kayak. Will be apprehensive about using kayak in future!
2023,1,"re: trips, new update frequently logs out, for some reason. at least once a day. when it is logged out, you can't see details of your trip, which defeats half of the purpose. if this isn't fixed SOON, going to have to switch to tripit or something."
2023,3,"I like your app and I use it all the time, however, I have been scammed by Mytrip which I bought my ticket through and scammed me as I showed up to the airport and informed me that the flight has been cancelled. I didn't receive any emails regarding this!!!! Plus when I contacted them, they asked me for an assistant fee which a paid, then they stopped replying to my emails!!!"
2022,4,"Good app but beware when you pick to purchase your booking. Do not book anything if its link to Tripmonster. This company base in EU and it will usually cancel your booking at last minute and not notified you. They probably sell your seats or room at a higher price!. Also you they will get charged 50 EU for each ticket. if you cancel your flights, even within 24 hours. BEWARE!"
2020,1,"TURO FROM HERE ON OUT Booked a car rental and was charged by THIS APP for the service/assistance and upon arriving to the airport I was told there was no record of my reservation and an additional 250 would be required for ""deposit purposes"" more than doubling the original quote. AND THEN I GET AN AUTOMATED EMAIL ASKING HOW WAS MY RENTAL. Y'all are funny. I stand by my words"
2022,4,"Kayak , flight booking are good and faster. But one drawback. For instance for ticket booking from UAE to India flights kayak have linked to 2 or agencies , where the ticket price given are perfect and good. But while selecting additional facility like seats(indian airline will charge aed 15 for selecting a seat whereas to kayak or travelgenio I paid aed 37/- per seat. For 1 person paying aed 37 is fine. But for 4 members , to and fro the total cost around aed Aed 296/-, a loss)"
2023,5,"Gives a great starting (and usually finishing) point. By searching so many sites they save a lot of time. Also, as an example, if you are looking for a hotel room, you can decide if Hotelsdotcom price is low enough that their loyalty program is worthwhile. Sometimes the other sites offer a price more than ten percent lower."
2019,5,Many filtering options in a user friendly interface. Not all the airlines are listed but coverage is constantly expanding. Previous payment was unsuccessful so I find the best flights and book them independently
2023,5,"Kayak is great, but recently the app doesn't show the date at the begining of the days activities in the selected trip. This is a bug with dark mode, but even when disabled it doesn't show dates, just a solid white bar. It does work on my Samsung phone but not on this one (Poco)."
2019,1,This has recently gone from the best travel organizer app to the worst! What have they done to it? It rarely opens and the front screen hangs indefinately. Sometimes need to restart my phone to increase the chance that it may then open after a bit of time. And this IS the most up to date version.
