,year,rating,review,roberta_neg,roberta_neu,roberta_pos
8821,2016,1,Latest update has ruined it. Dont think it shows some airlines as well,,,
8822,2016,5,Full service covering all airlines that you find some really good deals with:),,,
8823,2016,5,Love this app. Always gives me the best prices and so easy to use.,,,
8824,2016,1,I dont like this app now! I prefer how it was before!! Thanks,,,
8825,2016,4,Nice app that you get cheap flight rate information ...,,,
8826,2016,4,"Forget the title,  i been using it for a while,  just felt like reviewing it now after seeing jen on twitter.   Cheers!",,,
8827,2016,1,Bring back simple and clear version! Why make it complicated?,,,
8828,2016,1,There was nothing wrong with the app so why change it? Please change it back to the old interface.,,,
8829,2016,3,"Preferred the old design & focus on flights. The new app home page is annoying , should default to flights.",,,
8830,2016,4,"App is good but v limited options, happy feeling but not great kinda... Not v much Indian but yeah v good",,,
8831,2016,4,Useful and Cleer.  Be good if you could save personal settings and destinations and some kind of alert functionality would be great,,,
8832,2016,5,Accurate and tight database of airports. Fast search. Great app!,,,
8833,2016,4,Very good experience. Excellent prices with continuous tracking of the prices,,,
8834,2016,5,Really good for finding the best options and prices! Good filters too,,,
8835,2016,1,"no way to customize the time range, makes it completely useless, I'd rather go to the airline company to search one by one",,,
8836,2016,4,This app doesnt have a feature to search multiple cities flight.,,,
8837,2016,5,Great app. Very quick. The Currency selection option is very handy.,,,
8838,2016,1,Things should improve...not getting worse...I cannot believe how bad it is now this app....Im unistalling it...that s how bad it is,,,
8839,2016,1,"Used to be an excellent app, they should have left it alone. Please put it back how it was.",,,
8840,2016,1,Hate the new interface. Before was much more useful,,,
8841,2016,3,The app is giving a different rate from the main website. Its better to use the site using a laptop or desktop,,,
8842,2016,1,Take an app that was quite good and make it terrible to use. Well done skyscanner,,,
8843,2016,4,"I like this application so easily and have a very good follow up, till date I recommended it to my friends",,,
8844,2016,4,"Great apps, easy to use, accurate price, but could be better by adding ""Multiple City"" in the apps as in the web.",,,
8845,2016,1,Why is this once brilliant app so bloody hard to use now!? Rubbish!!,,,
8846,2016,4,Giving it a 4 star because I want to be able to choose the cheapest months and do multicity search in the app,,,
8847,2016,5,Simple and least disturbing. Tracks the flight costs well.,,,
8848,2016,4,The app is great but it doesn't have the multi city option,,,
8849,2016,4,Some similarities but a quick search option was not my first thought to choose,,,
8850,2016,5,The app is very simple and it serves what I am looking for. Definitely will recommend this to my friends..,,,
8851,2016,5,Great job. As a coca cola rep I fly alot on this app is well designed,,,
8852,2016,4,"Best app , if only it could be predicting like kayak",,,
8853,2016,4,Helps to find appropriate and suitable flight on one platform.,,,
8854,2016,5,Woukd not use anything else. Recommended to all friends and family x,,,
8855,2016,5,You made our life easy. It is simply amazing application.,,,
8856,2016,5,"So easy to use, definitely the best flight search engine I've ever used",,,
8857,2016,5,You can find everything yoy need from this app from the cheapest possible price as well!,,,
8858,2016,5,I fly 2 times a week and this is the best app to let me know what flight to get.,,,
8859,2016,5,The best part of this app is that it shows the prices for a whole month which helps you to plan your holiday if you are flexible,,,
8860,2016,5,I buy tickets all over looking for good deals this app is the best by far,,,
8861,2016,1,"How the #$&# do you find one way, no return flights.",,,
8862,2016,5,Easy to use the price alerts are awsomeeee just love itttt,,,
8863,2016,5,Can check & compare the fares very eaisly. Loved it,,,
8864,2016,5,It is very easy to use and choose the best flights.,,,
8865,2016,3,Please include multi city booking option in app too.,,,
8866,2016,5,Love this app!! Great for economical world travelers,,,
8867,2016,5,Absolutely amazing app. Shows what I need n how I need,,,
8868,2016,5,"Perfeito para uma busca rápida por voos, e ainda com alertas sobre alterações nos valores.",,,
8869,2016,4,"I still use this app all the time, but it is now far less user friendly since the update. The ""explore top deals"" function with tile format is useless to me, the flight search function should be where that is. That said, the monthly price views for flights to a certain destination are still excellent.  I have saved a lot of money with Skyscanner. I hope developers are taking these comments on board and make a change. Multi city search like Kayak does would also be nice.",,,
8870,2016,3,"New version extremely unintuitive. Also missing is the ability to select ""anytime"" which limits casual searching for flights. Entire month missing in parts. Also, on the widget I tapped the £17 to Germany result and it searched for deals and returned 3. Cheapest was a £23 return to Bremen leaving and returning the same day(!!!) and the others were over £1200. No option to change any options post search. Useless. Still doesn't deserve the 1* reviews from the over reactionary crowd tho",,,
8871,2016,1,"Primary features that made this service useful for planning random trips to anywhere have been removed. No more globe or ""united States to anywhere outside us"" filter to ensure I can skip all the continental flights. No more""all months"" filter either. This app went from indispensable to useless.  Edit: not even labels for what country the cities are in! You have to scroll around like a fool and do a google search. Go back to the column view and nested folder structure. No more gaudy tourist agency photos.",,,
8872,2016,1,"This was a really useful app, very quick and intuitive to use with an easy to understand graphic representation of the flights available and their cost. What on earth happened. Bring back the original and call it the classic version as a separate app and very few will download this thing. Development is supposed to be about making things better. I really hate this text based, click here to find out a little more approach. Bring back the good working graphs they made it better than similar apps.",,,
8873,2016,1,Skyscanner has always been quite a consistant trustworthy app but they dropped the ball with this last update. Many small things not working like they used to. Hopefully they fix it soon. Update 13th August...yes the one way everywhere flights have been completely ruined. My most used app feature 😕 Don't fix what isn't broken App team. I'd pay to go back to the old graph version 😕😕😕,,,
8874,2016,1,"Used to be so easy to search for flights but now they have made it so difficult and I can't even work out how you search for a single flight anymore. Looks like it's time for a change. Update 11th August 2016, yet again they have messed with the app and rendered it completely useless if you want to to search for flights. I do not understand the need to mess with the app and make it completely useless.",,,
8875,2016,1,I used to love this app but it has been ruined. It's so messy and hard to use. Before I used to use the 'everywhere' feature and it would give me a list of the cheapest countries I could travel too. Now it comes up with random destinations in a tile format which is so hard to understand and dosent display what I want. I just want to know the cheapest country I can fly too. Please bring this back!,,,
8876,2016,1,"Upgraded my mobile and downloaded this app as I've always used it to book flights before. For whatever reason the app is now completely changed with much of the previous functionality  (filtering departure and arrival times, airlines etc) has now gone leaving a bare app much the same as any travel app out there. Pity it's now useless to me and I'm deleting it :-(",,,
8877,2016,1,"I liked the old version with graphs and a heck of a lot destinations in the everywhere option. It was quick and easy to look up cheapest destinations around the globe. Also the option to show cheapest flight dates was very good, I could plan my holiday around them. The essence of the app has been lost somewhat in the sense that people want it to find cheapest flights easily to any destination with any dates and have a browse at random flights to entice them to plan their next holiday as well.",,,
8878,2016,2,There seems to be no correlation between the advertised price and the actual price... To be fair to skyscanner the mobile optimised site is still very good but it's very irritating to spend time searching flights only to find out the prices are not accurate. ..unlike the mos which is accurate and also still user friendly in terms of functionality...I don't think it should take much to retweak the app to sort these issues out...could be a PHP issue?,,,
8879,2016,1,"I've never written any review but this is so bad I had to. New layout makes it impossible to select whole year to browse at leisure, results display make it hard to browse destination by country, then see detail by city, app keeps asking for location, all in all app has lost all interesting features that made it different from any other. I am terribly disappointed and see no purpose to this app anymore.",,,
8880,2016,2,"Any way I can go back to an older version where there were graphs and I could look for one way flights to ""everywhere""? And also i used to be able to check which day would be the cheapest. There were so many ways to search for great deals. Now I'm just getting random results, it looks like. No idea how to use this app anymore. It worked super well last year. Now it doesn't even seem like the same app, any recommendations of which app I can use now?",,,
8881,2016,1,"What was once the go to app for searching for flights is now almost unusable. I'm not sure how such an intuitive app has been ruined to this degree. I understand why you're trying to sell people the ""top deals"", but the app is now left lacking the charm it has previously. I'll probably try something else now.",,,
8882,2016,3,"5 stars for the concept/service, 1 Star for the current app version. The whole top deals thing is really annoying and its hard to search for a simple flight now. I jump onto the website now or even get on bravofly or something because it's too annoying now",,,
8883,2016,2,"I used to love the Skyscanner app. Now it's extremely frustrating to use. Trying to search flying from tehran to turkey, one way, and it automatically puts in a 7 day return date. New interface is messy and difficult to use.  The graphs were the best part of the skyscanner app. Very disappointed.",,,
8884,2016,1,From what used to be my go to app to check for prices I now can't even get flights up with the horrible and needless new updates. Selected dates don't show any flights and there is no flexibility to finding flights within a set period or the app finding the cheapest prices in that set period of dates. Please undo the changes.,,,
8885,2016,1,"Used to use this all the time for searching for flights. Since they updated it though, it's virtually useless. Can't search for one way flights, no more anytime anywhere search, and more other helpful stuff gone. Not happy! Needs fixing asap!!",,,
8886,2016,1,Have you sent this out to a pilot group for review? Have you sent this out to your internal colleagues and requested feedback? This is disastrous and I'm quite sure you're going to lose an awful lot of business because of it. Revert back so I can enjoy a simplistic view to booking flights.,,,
8887,2016,2,There should be a basic feature to filter airlines before search or save it in setting. The results shown without this feature can never be accurate. Because the low cost airlines may have cheaper airfare on one day whereas full service may have it on some other day. So the calendar then is of no use.,,,
8888,2016,5,I initially became disillusioned very quickly and uninstalled it. Later I kept being referred to its website for tweaked options which did not exist in apps. Learned that I did not know how to tweak searches in this app. My bad. Landed 27% saving by adding 2 more hours of flight time with a younger higher quality airline. Saved me roadtrips with newer ideas and deals. Travel good. Learning it still. :),,,
8889,2016,3,Skyscanner website when it first started used to be able to perform just a regular return fare check. It has now include a multi-city option which is very convenient for frequent traveler like me. Unfortunately the Skyscanner app still lacks this function. Zuji has it. Multi-city booking is increasing getting popular nowadays. Please consider having this function included in your next release.,,,
8890,2016,1,Still can't search a whole month for the cheapest deal from a specific airport to everywhere. What's the point of the app if to search for cheap deals abroad you have to go onto the website. I want to be able to highlight the month of August like before not tediously go date by date airport by airport,,,
8891,2016,1,"I used to love this app. The app is basically garbage now. For example, why must results show up as ""tiles"" now? I used to be able to quickly scan through different countries easily. Now when searching from an airport to ""everywhere"" why do I have to see every city in the US listed and then have to try and find a city in another country randomly interspersed in between?! If you insist on displaying results this way, at least sort the tiles by country so we can quickly select a country of interest.",,,
8892,2016,1,"It used to be an excellemt app, but with each recent update the app functionality has been reduced. Not much flexibility in searching is left, and nothing functions properly. The screen space is all taken with ads. Shame. Time to migrate to a different travel app.",,,
8893,2016,1,"I used to absolutely love this app but I just cannot stand the updated version. It's not as easy to use and I find most of the new features completely useless and unnecessary. If you haven't already, DO NOT UPDATE.",,,
8894,2016,1,"Best deals? I just want to see flights I asked for, look for best dates and book. Was fine before, needed some update but not a whole change! Delete! Using holiday pirates one now",,,
8895,2016,2,I can't search the period of time (one way) and the airport at the first page. I will have to click the recommended period of time then change the date and airport I want. It's a bit trouble. I prefer the old version.,,,
8896,2016,3,The original version used to allow viewing of 1-3 months graphs showing price differences. Now you have to search each date separately. It would be a 5 star app if that option came back!,,,
8897,2016,1,"Latest update is simply horrible. Doesn't give you as many options as before and it doesn't even work well on a mobile. Really hard to work with now, it was much before until some time ago.",,,
8898,2016,1,"Desde las últimas actualizaciones es imposible buscar los vuelos como antes, ahora te salen solo ida y vuelta aunque no quieras la vuelta. Te tienes que ir a la página web para poder buscar de forma decente con el engorro que conlleva. Espero que lo arreglen y lo pongan como antes.",,,
8899,2016,2,"New update makes it shoddy and hard to use. Don't download the latest version. Now too focused on 'top deals' we don't want to see that, hence why we're using what I would now refer to as Skyscammer.",,,
8900,2016,3,"It doesnt remember the time filter for departure times or airlines filter when creating an alarm...i keep getting notifications for flights I know I cant/wont take. Also, on the website, it should allow me to get the visual monthly chart with my filters as well",,,
8901,2016,1,"Yes I understand cards look pretty but I much preferred the old info dense list views that highlighted which countries I could get to in any date range than this. This no longer helps me find figure out ""where to next""",,,
8902,2016,2,"I use to love this app, and recommended it to my friends, family members, and colleagues. Now, I despise it, because it use to be so much more efficient and user friendly. Please, app designers fix what you messed up!",,,
8903,2016,1,"What on earth happened?  This used to be great and with every update it gets worse!! Turn the clocks back a year when it was worth having. Absolutely useless now unless you know exact dates,and even then its complicated at best!!!!",,,
8904,2016,1,"I don't get why u guys changed it. One of the best feature u had was the ability to find the cheapest flight from a country to everywhere. U don't get the option of checking which month is   the cheapest to go no more, u have to check it month by month. I'm about to uninstall the app.",,,
8905,2016,1,"Usually i don't rate apps but this time i have to do it. This is the worst update i have seen ever!! Old version was good, it was easy to search, please reroll update",,,
8906,2016,2,"Clumsy interface, poor results being returned. Why did you have to change it? Tiled results are terrible. You have ruined this app and I like many others are really disappointed.",,,
8907,2016,5,I use this app. I have just recently started flying between South Carolina and Seattle not business just leisurely visiting between my grandkids. This app helps me find the cheapest flights with the best service. Thank you to the creators of this app!!!,,,
8908,2016,2,It was an amazing app before the update. I could search every where and anytime. I can find cheapest flight and make my plans accordingly. Please some how add those options back somehow. It was a great app and I recommended to every one.,,,
8909,2016,1,"Used to rely heavily on skyscanner when booking flights, new version makes it pretty much much useless and non functional in my eyes. Previously recommended to everyone, will be quite the opposite going forward.",,,
8910,2016,1,"Hate the new results, especially the Everywhere search results. Can't you just sort me by country and lower price and not show prices that were updated ""8 days ago"" ? PURE CRAP",,,
8911,2016,1,"Why fix something that wasn't broken? It was a great app, i loved the search to ""everywhere"" to choose destinations. Now useless interface and disappointment :(((( Please return old functionality and interface!!!)))))",,,
8912,2016,3,"Useful app but its changed alot and doesn't save the last search. After their major update, it's never been the same.",,,
8913,2016,1,Searching for a one way flight to everywhere with entire month selected as the date is not possible anymore after update. This change has led me to search for another flight  booking app.,,,
8914,2016,4,"Love this. Use it frequently for keeping check on prices for flights. Never had any technical issues, which is rare. 😆",,,
8915,2016,2,Every time I pit to search flight it goes to top deals its so frustrating.. Can you guys put the graph back please .,,,
8916,2016,4,OK so you can search for everywhere from the intro screen to find the best deals. A bit more cluttered than it used to be but still pretty good.,,,
8917,2016,1,Used to be my go to app for searching for flights but the update has removed all the features that were great about it. Have downloaded Momondo and will be using that from now on.,,,
8918,2016,5,"Love the way it saves my searches. For example, if I search for a ticket to Atlanta on 3 different sets of dates because I'm trying to find the cheapest dates, it saves all 3 of the date combinations. When I go back a few days later to look again, I don't have to put in all of the dates.",,,
8919,2016,1,Hate this app now. Bring back the old one fast or you'll lose 80% of your customers.,,,
8920,2016,5,A really good app that helps you look for cheap flights especially when you are looking for flights in advance. Notifies you when there is a cheap deal. Worth 5 stars. 👏👏,,,
8921,2016,1,Used to be all about functionality but now it's all about pictures and other non-sense this recent update has made me so angry to use an app in which I always used to travel nearly 33 countries.,,,
8922,2016,1,"I haven't used SkyScanner for several months.. I don't know what you guys tried to accomplish with the new format, but it's a significant step backwards!",,,
8923,2016,1,"Just make it like the website, we love the website. It's over complicated, where's the flexibile search, the cheapest month option? Why does the search come by city and not country?",,,
8924,2016,4,Is it safe to book flights using this app? is the baggage allowance still the same? no hidden costs and additional charges compared when booking online with the airlines website? can anybody give me a feedback please?,,,
8925,2016,4,Great app that is very easy to use. It would be perfect if it had functionality for planning multi-city flights.,,,
8926,2016,2,"What have you done to this app!?! Extremely un-user friendly now, worked great before, will be deleting if not changed 🙁",,,
8927,2016,2,Used to consider this a 5 star app but recent updates have made this almost unusable. Please return to the old interface.,,,
8928,2016,1,"One way doesn't always work, functionality lost, too advert looking, flexibility lost.  Bring back the old version",,,
8929,2016,5,Look no other. Skyscanner is everything you need to save flight deals both local and international. Thank you Skyscanner!,,,
8930,2016,1,Was way better before update. Am a travel professional and used the app daily. Now it will be deleted.,,,
8931,2016,1,"Fix up, go back to old version, the tile view is useless, show me price by. Country",,,
8932,2016,1,"This updated version is terrible. There is no way to search for a one way flight, it always defaults to a 7 day return flight regardless.",,,
8933,2016,5,I love how user friendly the app is. It's absolutely the easiest way to book flights and find the best deals!,,,
8934,2016,4,"with the last update its more difficult  for me to find best prices for future months, without a diagrama it was 1 month ago",,,
